video	frame	outline_conf	diameter	eyelids	major_axis	minor_axis
Braley_171_705_323	Braley_171_705_323_0007_face	0.6571428775787354	33	0.0	33	21
Braley_171_705_323	Braley_171_705_323_0008_face	0.6060606241226196	27	0.0	27	13
Braley_171_705_323	Braley_171_705_323_0009_face	0.9090909361839294	28	0.0	28	14
Braley_171_705_323	Braley_171_705_323_0010_face	0.8529411554336548	30	0.0	30	17
Braley_171_705_323	Braley_171_705_323_0011_face	0.7272727489471436	18	0.0	18	13
Braley_171_705_323	Braley_171_705_323_0012_face	0.7575757503509521	33	0.0	33	25
Braley_171_705_323	Braley_171_705_323_0013_face	0.90625	17	0.0	17	9
Braley_171_705_323	Braley_171_705_323_0014_face	0.7428571581840515	30	0.0	30	21
Braley_171_705_323	Braley_171_705_323_0015_face	0.8235294222831726	17	0.0	17	14
Braley_171_705_323	Braley_171_705_323_0016_face	0.9696969985961914	16	0.0	16	12
Braley_171_705_323	Braley_171_705_323_0017_face	0.939393937587738	15	0.0	15	11
Braley_171_705_323	Braley_171_705_323_0018_face	1.0	16	0.0	16	12
Braley_171_705_323	Braley_171_705_323_0019_face	0.7272727489471436	22	0.0	22	11
Braley_171_705_323	Braley_171_705_323_0020_face	0.9375	15	0.0	15	10
Braley_171_705_323	Braley_171_705_323_0021_face	0.9375	15	0.0	15	10
Braley_171_705_323	Braley_171_705_323_0022_face	0.96875	15	0.0	15	12
Braley_171_705_323	Braley_171_705_323_0023_face	0.6875	28	0.0	28	13
Braley_171_705_323	Braley_171_705_323_0024_face	0.78125	21	0.0	21	15
Braley_171_705_323	Braley_171_705_323_0025_face	0.7575757503509521	18	0.0	18	11
Braley_171_705_323	Braley_171_705_323_0026_face	1.0	16	0.0	16	11
Braley_171_705_323	Braley_171_705_323_0027_face	1.0	16	0.0	16	12
Braley_171_705_323	Braley_171_705_323_0028_face	0.6285714507102966	31	0.0	31	28
Braley_171_705_323	Braley_171_705_323_0029_face	0.8787878751754761	16	0.0	16	13
Braley_171_705_323	Braley_171_705_323_0030_face	0.9696969985961914	16	0.0	16	12
Braley_171_705_323	Braley_171_705_323_0031_face	0.8235294222831726	17	0.0	17	13
Braley_171_705_323	Braley_171_705_323_0032_face	0.9696969985961914	16	0.0	16	11
Braley_171_705_323	Braley_171_705_323_0033_face	0.0	15	0.0	15	8
Braley_171_705_323	Braley_171_705_323_0034_face	0.7777777910232544	35	0.0	35	26
Braley_171_705_323	Braley_171_705_323_0035_face	0.5806451439857483	18	0.0	18	8
Braley_171_705_323	Braley_171_705_323_0036_face	0.6571428775787354	27	0.0	27	16
Braley_171_705_323	Braley_171_705_323_0037_face	1.0	15	0.0	15	11
Braley_171_705_323	Braley_171_705_323_0038_face	0.9375	16	0.0	16	12
Braley_171_705_323	Braley_171_705_323_0039_face	0.939393937587738	16	0.0	16	13
Braley_171_705_323	Braley_171_705_323_0040_face	0.9411764740943909	36	0.0	36	22
Braley_171_705_323	Braley_171_705_323_0041_face	0.9696969985961914	18	0.0	18	15
Braley_171_705_323	Braley_171_705_323_0042_face	0.875	17	0.0	17	13
Braley_171_705_323	Braley_171_705_323_0043_face	0.6470588445663452	36	0.0	36	25
Braley_171_705_323	Braley_171_705_323_0044_face	0.7428571581840515	32	0.0	32	23
Braley_171_705_323	Braley_171_705_323_0045_face	1.0	17	0.0	17	14
Braley_171_705_323	Braley_171_705_323_0046_face	0.90625	16	0.0	16	12
Braley_171_705_323	Braley_171_705_323_0047_face	1.0	15	0.0	15	11
Braley_171_705_323	Braley_171_705_323_0048_face	0.5428571701049805	35	0.0	35	33
Braley_171_705_323	Braley_171_705_323_0049_face	0.5882353186607361	22	0.0	22	16
Braley_171_705_323	Braley_171_705_323_0050_face	1.0	16	0.0	16	12
Braley_171_705_323	Braley_171_705_323_0051_face	0.96875	18	0.0	18	15
Braley_171_705_323	Braley_171_705_323_0052_face	0.96875	16	0.0	16	11
Braley_171_705_323	Braley_171_705_323_0053_face	0.875	18	0.0	18	16
Braley_171_705_323	Braley_171_705_323_0054_face	0.96875	16	0.0	16	11
Braley_171_705_323	Braley_171_705_323_0055_face	0.9696969985961914	16	0.0	16	12
Braley_171_705_323	Braley_171_705_323_0056_face	1.0	16	0.0	16	12
Braley_171_705_323	Braley_171_705_323_0057_face	0.9696969985961914	16	0.0	16	12
Braley_171_705_323	Braley_171_705_323_0058_face	0.7714285850524902	32	0.0	32	18
Braley_171_705_323	Braley_171_705_323_0059_face	1.0	16	0.0	16	11
Braley_171_705_323	Braley_171_705_323_0060_face	0.6764705777168274	17	0.0	17	13
Braley_171_705_323	Braley_171_705_323_0061_face	0.9375	16	0.0	16	12
Braley_171_705_323	Braley_171_705_323_0062_face	0.84375	16	0.0	16	13
Braley_171_705_323	Braley_171_705_323_0063_face	0.8484848737716675	28	0.0	28	13
Braley_171_705_323	Braley_171_705_323_0064_face	0.9411764740943909	17	0.0	17	13
Braley_171_705_323	Braley_171_705_323_0065_face	1.0	16	0.0	16	12
Braley_171_705_323	Braley_171_705_323_0066_face	0.7878788113594055	27	0.0	27	13
Braley_171_705_323	Braley_171_705_323_0067_face	0.8181818127632141	27	0.0	27	13
Braley_171_705_323	Braley_171_705_323_0068_face	1.0	18	0.0	18	14
Braley_171_705_323	Braley_171_705_323_0069_face	0.7058823704719543	41	0.0	41	24
Braley_171_705_323	Braley_171_705_323_0070_face	0.9696969985961914	16	0.0	16	13
Braley_171_705_323	Braley_171_705_323_0071_face	0.7941176295280457	21	0.0	21	10
Braley_171_705_323	Braley_171_705_323_0072_face	0.84375	29	0.0	29	12
Braley_171_705_323	Braley_171_705_323_0073_face	1.0	15	0.0	15	14
